key,provider,watermark_type,path,status,verification,license
gemini,Google Gemini,visible sparkle,data/calibration/gemini/gemini_black_2048.png,available,original provider capture and detector calibration,repository
doubao,ByteDance Doubao,visible text,data/calibration/doubao/doubao_gray_1x1_1.png,available,original provider capture and detector calibration,repository
jimeng,ByteDance Jimeng,visible wordmark,data/calibration/jimeng/jimeng_cap_C.png,available,original provider capture and detector calibration,repository
qwen,Alibaba Qwen consumer app,visible text,data/fixtures/visible/qwen/provider-original.png,available,detected by Qwen engine; distributed under the OpenNoMark repository's CC BY-NC-SA 4.0 license; current global Qwen Create uses a different symbol captured in provenance fixtures,CC-BY-NC-SA-4.0; excluded from Apache-2.0
kling,Kuaishou Kling AI,visible text,data/fixtures/visible/kling/provider-original-direct.png,available,authenticated Kling IMAGE 3.0 original; Latin KlingAI 3.0 mark detected at confidence 0.43; TC260 producer maps to Kuaishou,subject to Kling AI terms; noncommercial fixture
yuanbao,Tencent Yuanbao,visible two-line text,data/fixtures/visible/yuanbao/provider-original.png,available,authenticated Yuanbao original; detected by Yuanbao engine at confidence 0.49; TC260 producer metadata maps to Tencent,repository
samsung,Samsung Galaxy AI,visible Italian text,data/calibration/samsung/samsung_gray_1.png,available,original provider capture and detector calibration,repository
runninghub,RunningHub,visible text,,missing,no redistributable provider original found,
baidu,Baidu,visible text and tag,data/fixtures/visible/baidu/provider-original.jpeg,available,detected by Baidu engine; distributed under the OpenNoMark repository's CC BY-NC-SA 4.0 license,CC-BY-NC-SA-4.0; excluded from Apache-2.0
liblib,LiblibAI,visible wordmark,data/fixtures/visible/liblib/current-provider-output.png,partial,"authenticated current LiblibAI original carries a top-left AI生成 pill rather than the registered historical bottom-center LiblibAI wordmark; TC260 producer metadata maps to LiblibAI; historical positive remains missing",repository
microsoft,Microsoft image output,visible top-right AI badge,data/fixtures/visible/microsoft/provider-original.png,available,authenticated Copilot original detected by Microsoft engine at confidence 0.54; also has valid C2PA and InvisMark,repository
jimeng_pill,ByteDance Jimeng,visible AI pill,data/fixtures/visible/jimeng_pill/provider-published-example.jpg,available,"real Jimeng output embedded in page 29 of Zhonglun W&D's 2026 Bank Finance Legal Newsletter; direct jimeng_pill detection confidence 0.28; the same image also carries the Jimeng wordmark",fair-use research fixture; excluded from Apache-2.0
google_synthid,Google,image SynthID,data/synthid/originals/Gemini_Generated_Image_633uuy633uuy633u.png,available,provider oracle recorded in data/synthid/manifest.csv,repository
openai_synthid,OpenAI,image SynthID,"data/synthid/originals/ChatGPT Image May 30, 2026, 10_31_08 AM.png",available,provider oracle recorded in data/synthid/manifest.csv,repository
meta_content_seal,Meta Muse Image,image Content Seal,data/contentseal/originals/gen_fox_forest.webp,available,provider oracle recorded in data/contentseal/manifest.csv,repository
microsoft_invismark,Microsoft Paint,image InvisMark,data/fixtures/provenance/microsoft-paint-invismark.png,available,"original Paint output supplied by Xusheng Li; valid C2PA names com.microsoft.invismark.1 and watermark ID a4ed421e-7c37-4409-998e-f8788c564572",MIT
open_dwt_dct,Stable Diffusion / SDXL / FLUX workflows,open DWT-DCT,data/fixtures/provenance/sdxl-dwt-dct.png,available,real AI-generated carrier with the official SDXL payload recovered 48/48 by upstream and in-tree decoders,repository
adobe_trustmark_p,Adobe,image TrustMark Variant P,data/fixtures/provenance/adobe-trustmark-p.png,available,official Adobe example and expected schema recorded in data/fixtures/README.md,MIT
